president,president_name,title,date,Year,city,state,building,room
33,Harry Truman,Commencement Address at Princeton University.,6/17/1947,1947,Princeton,NJ,Princeton University,Nassau Hall
33,Harry Truman,Commencement Address at the University of California.,6/12/1948,1948,Berkeley,CA,,
33,Harry Truman,Commencement Address at the University of Missouri.,6/9/1950,1950,Columbia,MO,,
33,Harry Truman,Commencement Address at Howard University.,6/13/1952,1952,Washington,DC,Howard University,unknown
34,Dwight Eisenhower,"Remarks at the Dartmouth College Commencement Exercises, Hanover, New Hampshire.",6/14/1953,1953,Hanover,NH,,
34,Dwight Eisenhower,"Remarks at the Washington College Commencement, Chestertown, Maryland.",6/7/1954,1954,Chestertown,MD,,
34,Dwight Eisenhower,"Address at the Graduation Ceremonies, United States Military Academy, West Point, New York",6/7/1955,1955,West Point,NY,,
34,Dwight Eisenhower,Address at the Centennial Commencement of Pennsylvania State University.,6/11/1955,1955,University Park,PA,,
34,Dwight Eisenhower,"Address and Remarks at the Baylor University Commencement Ceremonies, Waco, Texas.",5/25/1956,1956,Waco,TX,,
34,Dwight Eisenhower,"Address at the Sesquicentennial Commencement of Mount St. Mary's College, Emmitsburg, Maryland.",6/2/1958,1958,Emmitsburg,MD,,
34,Dwight Eisenhower,Address at U. S. Naval Academy Commencement.,6/4/1958,1958,Annapolis,MD,,
34,Dwight Eisenhower,Remarks on Introducing Prime Minister Macmillan at the Johns Hopkins University Commencement.,6/10/1958,1958,Baltimore,MD,,
34,Dwight Eisenhower,"Address ""Beyond the Campus"" Delivered at the Commencement Exercises of the University of Notre Dame.",6/5/1960,1960,South Bend,IN,University of Notre Dame,O'Shaughnessy Hall
35,John Kennedy,Remarks at Annapolis to the Graduating Class of the United States Naval Academy.,6/7/1961,1961,Annapolis,MD,,
35,John Kennedy,Remarks at West Point to the Graduating Class of the U.S. Military Academy.,6/6/1962,1962,West Point,NY,,
35,John Kennedy,Commencement Address at Yale University.,6/11/1962,1962,New Haven,CT,,
35,John Kennedy,Remarks at Colorado Springs to the Graduating Class of the U.S. Air Force Academy.,6/5/1963,1963,Colorado Springs,CO,,
35,John Kennedy,Commencement Address at San Diego State College.,6/6/1963,1963,San Diego,CA,,
35,John Kennedy,Commencement Address at American University in Washington,6/10/1963,1963,Washington,DC,American University,John M. Reeves Athletic Field
36,Lyndon Johnson,Remarks at the University of Michigan,5/22/1964,1964,Ann Arbor,MI,University of Michigan,
36,Lyndon Johnson,Remarks in Texas to the Graduating Class of the Johnson City High School.,5/29/1964,1964,Johnson City,TX,,
36,Lyndon Johnson,Commencement Address at the University of Texas.,5/30/1964,1964,Austin,TX,,
36,Lyndon Johnson,Commencement Address in New London at the United States Coast Guard Academy.,6/3/1964,1964,New London,CT,,
36,Lyndon Johnson,Address at the Centennial Commencement of Swarthmore College.,6/8/1964,1964,Swarthmore,PA,,
36,Lyndon Johnson,Commencement Address at Holy Cross College.,6/10/1964,1964,Worcester,MA,,
36,Lyndon Johnson,Commencement Address at Baylor University.,5/28/1965,1965,Waco,TX,,
36,Lyndon Johnson,Remarks at the Commencement Exercises of the National Cathedral School.,6/1/1965,1965,Washington,DC,Washington Cathedral,na
36,Lyndon Johnson,"Commencement Address at Howard University: ""To Fulfill These Rights.""",6/4/1965,1965,Washington,DC,Howard University,Main Quadrangle
36,Lyndon Johnson,Commencement Address at Catholic University.,6/6/1965,1965,Washington,DC,Catholic University,Gymnasium
36,Lyndon Johnson,Remarks at the Graduation Ceremony of the School for Capitol Page Boys.,6/15/1965,1965,Washington,DC,White House,Rose Garden
36,Lyndon Johnson,Remarks at the Graduation Ceremony of the Capitol Page School.,6/14/1966,1966,Washington,DC,White House,Rose Garden
36,Lyndon Johnson,Remarks at the Graduation Ceremony of the Capitol Page School.,6/13/1967,1967,Washington,DC,White House,Rose Garden
36,Lyndon Johnson,Commencement Address at Texas Christian University.,5/29/1968,1968,Fort Worth,TX,,
36,Lyndon Johnson,Commencement Address at Glassboro State College.,6/4/1968,1968,Glassboro,NJ,,
36,Lyndon Johnson,Remarks at the Graduation Exercises of the Capitol Page School.,6/11/1968,1968,Washington,DC,White House,East Room
36,Lyndon Johnson,Address at the Summer Commencement Exercises of Southwest Texas State College.,8/24/1968,1968,San Marcos,TX,,
37,Richard Nixon,"Address at the Air Force Academy Commencement Exercises in Colorado Springs, Colorado",6/4/1969,1969,Colorado Springs,CO,Air Force Academy,Falcon Stadium
37,Richard Nixon,Remarks at the Graduation Ceremony of the Capitol Page School.,6/12/1969,1969,Washington,DC,White House,Rose Garden
37,Richard Nixon,"Remarks at Commencement Exercises of Florida Technological University, Orlando, Florida.",6/8/1973,1973,Orlando,FL,,
37,Richard Nixon,"Remarks at Commencement Exercises at Oklahoma State University, Stillwater, Oklahoma.",5/11/1974,1974,Stillwater,OK,,
37,Richard Nixon,"Remarks at Commencement Ceremonies at the United States Naval Academy, Annapolis, Maryland.",6/5/1974,1974,Annapolis,MD,,
38,Gerald Ford,Commencement Address at the University of Pennsylvania.,5/18/1975,1975,Philadelphia,PA,University of Pennsylvania,
38,Gerald Ford,Commencement Address at the United States Military Academy.,6/4/1975,1975,West Point,NY,U.S. Military Academy,Michie Stadium
38,Gerald Ford,"Remarks at Graduation Ceremonies at Holton-Arms School, Bethesda, Maryland.",6/5/1975,1975,Bethesda,MD,Holton-Arms School,grounds
38,Gerald Ford,Commencement Address at Chicago State University.,7/12/1975,1975,Chicago,IL,McCormick Place,Arie Crown Theatre
